Country Name,Country Code,Population,Fertility Rate,Life Expectancy,Year
Aruba,ABW,54211.0,4.82,65.662,1960
Afghanistan,AFG,8996351.0,7.45,32.292,1960
Angola,AGO,5643182.0,7.478,33.251,1960
Albania,ALB,1608800.0,6.489,62.279,1960
Andorra,AND,13411.0,5.508217221572455,53.36700538612075,1960
Arab World,ARB,92490932.0,6.94874667081898,46.825064996761,1960
United Arab Emirates,ARE,92634.0,6.929,52.265,1960
Argentina,ARG,20619075.0,3.109,65.022,1960
Armenia,ARM,1874120.0,4.786,65.971,1960
American Samoa,ASM,20013.0,5.508217221572455,53.36700538612075,1960
Antigua and Barbuda,ATG,55339.0,4.425,62.115,1960
Australia,AUS,10276477.0,3.453,70.8170731707317,1960
Austria,AUT,7047539.0,2.69,68.5856097560976,1960
Azerbaijan,AZE,3895396.0,5.878,61.035,1960
Burundi,BDI,2786106.0,6.953,41.281,1960
Belgium,BEL,9153489.0,2.54,69.7019512195122,1960
Benin,BEN,2431622.0,6.282,37.271,1960
Burkina Faso,BFA,4829288.0,6.291,34.432,1960
Bangladesh,BGD,48199747.0,6.725,45.831,1960
Bulgaria,BGR,7867374.0,2.31,69.2475609756098,1960
Bahrain,BHR,162427.0,7.087,51.868,1960
"Bahamas, The",BHS,109528.0,4.495,62.881,1960
Bosnia and Herzegovina,BIH,3225668.0,3.801,60.353,1960
Belarus,BLR,8198000.0,2.67,67.7080975609756,1960
Belize,BLZ,92064.0,6.5,59.981,1960
Bermuda,BMU,44400.0,5.508217221572455,53.36700538612075,1960
Bolivia,BOL,3693449.0,6.7,42.138,1960
Brazil,BRA,72207554.0,6.07,54.241,1960
Barbados,BRB,230939.0,4.333,61.002,1960
Brunei Darussalam,BRN,81745.0,6.836,62.467,1960
Bhutan,BTN,223288.0,6.67,34.526,1960
Botswana,BWA,524552.0,6.615,50.661,1960
Central African Republic,CAF,1503508.0,5.84,36.489,1960
Canada,CAN,17909009.0,3.811,71.1331707317073,1960
Central Europe and the Baltics,CEB,91401583.0,2.49708171252317,67.8213950012551,1960
Switzerland,CHE,5327827.0,2.44,71.3134146341463,1960
Channel Islands,CHI,109420.0,2.421,70.739,1960
Chile,CHL,7716625.0,5.102,57.285,1960
China,CHN,667070000.0,5.748,43.725,1960
Cote d'Ivoire,CIV,3558988.0,7.691,36.865,1960
Cameroon,CMR,5176268.0,5.647,41.546,1960
"Congo, Dem. Rep.",COD,15248251.0,6.001,41.098,1960
"Congo, Rep.",COG,1037220.0,5.88,48.602,1960
Colombia,COL,16480383.0,6.807,56.752,1960
Comoros,COM,191121.0,6.792,41.447,1960
Cabo Verde,CPV,202310.0,6.885,48.928,1960
Costa Rica,CRI,1333040.0,6.451,60.556,1960
Caribbean small states,CSS,4198307.0,5.59996527830745,62.3706910812823,1960
Cuba,CUB,7141135.0,4.182,63.834,1960
Curacao,CUW,124826.0,5.508217221572455,53.36700538612075,1960
Cayman Islands,CYM,7865.0,5.508217221572455,53.36700538612075,1960
Cyprus,CYP,572930.0,3.5,69.618,1960
Czech Republic,CZE,9602006.0,2.09,70.3487804878049,1960
Germany,DEU,72814900.0,2.37,69.3100243902439,1960
Djibouti,DJI,83636.0,6.461,44.038,1960
Dominica,DMA,60011.0,5.508217221572455,53.36700538612075,1960
Denmark,DNK,4579603.0,2.57,72.1765853658537,1960
Dominican Republic,DOM,3294042.0,7.555,51.787,1960
Algeria,DZA,11124888.0,7.524,46.138,1960
East Asia & Pacific (excluding high income),EAP,893956327.0,5.81989560240509,45.7246328287819,1960
Early-demographic dividend,EAR,979287407.0,6.1461051268323,45.2114230432004,1960
East Asia & Pacific,EAS,1039944591.0,5.3917197472977,48.4552640139166,1960
Europe & Central Asia (excluding high income),ECA,279087938.0,3.1343078356035,63.4142857891078,1960
Europe & Central Asia,ECS,667246384.0,2.8345249043584,67.0374456460047,1960
Ecuador,ECU,4545550.0,6.721,53.236,1960
"Egypt, Arab Rep.",EGY,26996533.0,6.716,48.056,1960
Euro area,EMU,265396502.0,2.60116587469027,69.274483684014,1960
Eritrea,ERI,1397491.0,6.899,38.418,1960
Spain,ESP,30455000.0,2.86,69.1092682926829,1960
Estonia,EST,1211537.0,1.98,67.9029024390244,1960
Ethiopia,ETH,22151278.0,6.88,38.419,1960
European Union,EUU,409498463.0,2.58362952868889,69.2800447154362,1960
Fragile and conflict affected situations,FCS,121765037.0,6.58930793725348,40.6495918103647,1960
Finland,FIN,4429634.0,2.72,68.819756097561,1960
Fiji,FJI,393386.0,6.461,55.86,1960
France,FRA,46814237.0,2.85,69.8682926829268,1960
Faroe Islands,FRO,34661.0,5.508217221572455,53.36700538612075,1960
"Micronesia, Fed. Sts.",FSM,44537.0,6.934,57.58,1960
Gabon,GAB,499184.0,4.384,39.587,1960
United Kingdom,GBR,52400000.0,2.69,71.1268292682927,1960
Georgia,GEO,3645600.0,2.942,63.651,1960
Ghana,GHA,6652287.0,6.749,45.844,1960
Gibraltar,GIB,23394.0,5.508217221572455,53.36700538612075,1960
Guinea,GIN,3577409.0,6.114,34.89,1960
"Gambia, The",GMB,367928.0,5.573,32.035,1960
Guinea-Bissau,GNB,616409.0,5.921,37.854,1960
